snapshot,AZPS,BANCSMUD,BCHA,CISO,IPCO,NEVP,PACE,PACW,PGE,PSEI,CISO-PGAE,CISO-SCE,CISO-SDGE,CISO-VEA,Arizona,BANC
2019-01-01 00:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 01:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 02:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 03:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 04:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 05:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 06:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 07:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 08:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 09:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 10:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 11:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 12:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 13:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 14:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 15:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 16:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 17:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 18:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 19:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 20:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 21:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 22:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-01 23:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.669802133333334,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-02 00:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.685729,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-02 01:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.685729,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-02 02:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.685729,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-02 03:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.685729,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-02 04:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.685729,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
2019-01-02 05:00:00,10.995743272727273,15.2283598,13.276181000000001,21.381818499999998,13.094159666666668,13.685729,12.92635875,13.253428333333336,12.94342325,14.136231800000001,21.381818499999998,21.381818499999998,21.381818499999998,21.381818499999998,10.995743272727273,15.2283598
